"land","name","area_km2","pop_tot","pop_male","pop_female","pop_density_km2","zip","lon","lat","ags","year","unem_tot","unem_foreigner","unem_capita"
"07","Abentheuer",6.12,451,231,220,74,"55767",7.100473,49.65142,"07134001",2012,14,0,0.0310421286031042
"07","Achtelsbach",9.7,436,212,224,45,"55767",7.090022,49.624529,"07134002",2012,8,0,0.018348623853211
"07","Birkenfeld, Stadt",13.58,6693,3287,3406,493,"55765",7.168182,49.650146,"07134010",2012,293,27,0.043777080531899
"07","Börfink",8.22,191,96,95,23,"54422",7.081082,49.688571,"07134011",2012,12,0,0.06282722513089
"07","Brücken",13.62,1208,606,602,89,"55767",7.111322,49.637723,"07134015",2012,31,2,0.0256622516556291
"07","Buhlenberg",8.44,484,239,245,57,"55767",7.121036,49.654269,"07134016",2012,9,1,0.0185950413223141
"07","Dambach",2.98,158,81,77,53,"55765",7.132579,49.627524,"07134018",2012,0,0,0
"07","Dienstweiler",6.69,300,148,152,45,"55765",7.184673,49.636319,"07134020",2012,4,0,0.0133333333333333
"07","Elchweiler",2.15,100,50,50,47,"55765",7.201509,49.673456,"07134022",2012,0,0,0
"07","Ellenberg",2.01,100,48,52,50,"55765",7.147506,49.659352,"07134023",2012,3,0,0.03
"07","Ellweiler",7.46,303,148,155,41,"55765",7.144397,49.615204,"07134024",2012,5,0,0.0165016501650165
"07","Gimbweiler",5.53,408,186,222,74,"55767",7.190965,49.585436,"07134029",2012,12,1,0.0294117647058824
"07","Gollenberg",3.25,133,62,71,41,"55767",7.159219,49.672665,"07134031",2012,2,0,0.0150375939849624
"07","Hattgenstein",8.21,261,124,137,32,"55767",7.159844,49.697296,"07134034",2012,5,0,0.0191570881226054
"07","Hoppstädten-Weiersbach",17.87,2917,1514,1403,163,"55768",7.195599,49.616964,"07134042",2012,68,4,0.0233116215289681
"07","Kronweiler",3.51,330,167,163,94,"55767",7.26215,49.660753,"07134048",2012,3,0,0.00909090909090909
"07","Leisel",8.82,576,285,291,65,"55767",7.201635,49.718974,"07134050",2012,8,0,0.0138888888888889
"07","Meckenbach",3.78,116,54,62,31,"55767",7.096231,49.616007,"07134053",2012,1,0,0.00862068965517241
"07","Niederbrombach",7.28,477,236,241,66,"55767",7.246408,49.686543,"07134057",2012,10,1,0.0209643605870021
"07","Niederhambach",9.77,326,165,161,33,"55767",7.205866,49.687316,"07134058",2012,7,1,0.0214723926380368
"07","Nohen",7.5,382,194,188,51,"55767",7.243051,49.639376,"07134061",2012,11,0,0.0287958115183246
"07","Oberbrombach",6.56,446,216,230,68,"55767",7.261137,49.697735,"07134062",2012,14,0,0.031390134529148
"07","Oberhambach",5.11,273,148,125,53,"55765",7.156184,49.686166,"07134063",2012,8,1,0.0293040293040293
"07","Rimsberg",3.2,127,61,66,40,"55765",7.210662,49.656828,"07134070",2012,3,0,0.0236220472440945
"07","Rinzenberg",11.33,314,164,150,28,"55767",7.132619,49.676063,"07134071",2012,2,0,0.00636942675159236
"07","Rötsweiler-Nockenthal",3.21,465,229,236,145,"55767",7.254425,49.708439,"07134072",2012,10,0,0.021505376344086
"07","Schmißberg",1.68,208,103,105,124,"55765",7.203249,49.664537,"07134078",2012,4,1,0.0192307692307692
"07","Schwollen",8.83,452,231,221,51,"55767",7.1815,49.704535,"07134080",2012,10,0,0.0221238938053097
"07","Siesbach",7.43,407,201,206,55,"55767",7.23729,49.731143,"07134084",2012,6,0,0.0147420147420147
"07","Sonnenberg-Winnenberg",2.87,471,234,237,164,"55767",7.276225,49.675332,"07134085",2012,14,0,0.029723991507431
