,Bundesland,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 1)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 6)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 11)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 16)",,,,"ins-
gesamt","ausgewählte Altersgruppen 
dar. (Spalte 21)",,,,darunter Ausländer,"ausgewählte Altersgruppen 
dar. (Spalte 26)",,,
,"Regierungsbezirk
Kreis",,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter  20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre,,15 bis unter 20 Jahre,15 bis unter 25 Jahre,50 bis unter 65 Jahre,55 bis unter 65 Jahre
Schlüssel,Gemeinde,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 
01051062, Kronprinzenkoog,27 ,1 ,2 ,11 ,6 ,1 ,0 ,0 ,1 ,1 ,9 ,0 ,1 ,5 ,3 ,0 ,0 ,0 ,0 ,0 ,18 ,1 ,2 ,5 ,4 ,1 ,0 ,0 ,1 ,1 
01051063, Krumstedt,13 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051064, Kuden,15 ,2 ,3 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,2 ,2 ,3 ,2 ,0 ,0 ,0 ,0 ,0 
01051065, Lehe,31 ,1 ,4 ,12 ,9 ,0 ,0 ,0 ,0 ,0 ,12 ,1 ,3 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,20 ,1 ,1 ,9 ,6 ,0 ,0 ,0 ,0 ,0 
01051067, Lieth,10 ,0 ,2 ,5 ,3 ,1 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,4 ,3 ,1 ,0 ,0 ,0 ,0 ,3 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051068, Linden,17 ,0 ,1 ,5 ,3 ,1 ,0 ,0 ,0 ,0 ,10 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,2 ,1 ,0 ,0 ,0 ,0 ,0 
01051069, Lohe-Rickelshof,43 ,1 ,5 ,11 ,7 ,1 ,0 ,0 ,0 ,0 ,14 ,0 ,2 ,6 ,4 ,0 ,0 ,0 ,0 ,0 ,28 ,0 ,2 ,4 ,3 ,1 ,0 ,0 ,0 ,0 
01051071, Lunden,114 ,4 ,16 ,31 ,15 ,3 ,0 ,0 ,0 ,0 ,26 ,1 ,5 ,8 ,5 ,1 ,0 ,0 ,0 ,0 ,89 ,3 ,12 ,23 ,11 ,2 ,0 ,0 ,0 ,0 
01051072," Marne, Stadt",227 ,4 ,20 ,73 ,42 ,10 ,0 ,0 ,1 ,0 ,68 ,1 ,8 ,36 ,25 ,2 ,0 ,0 ,0 ,0 ,160 ,3 ,11 ,37 ,17 ,8 ,0 ,0 ,1 ,0 
01051073, Marnerdeich,13 ,0 ,1 ,4 ,2 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,1 ,3 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
01051074," Meldorf, Stadt",316 ,14 ,49 ,80 ,36 ,21 ,1 ,1 ,5 ,2 ,70 ,2 ,12 ,24 ,15 ,2 ,0 ,0 ,1 ,1 ,245 ,12 ,36 ,55 ,21 ,19 ,1 ,1 ,4 ,1 
01051075, Neuenkirchen,29 ,1 ,2 ,13 ,10 ,0 ,0 ,0 ,0 ,0 ,13 ,0 ,1 ,6 ,5 ,0 ,0 ,0 ,0 ,0 ,16 ,0 ,1 ,8 ,5 ,0 ,0 ,0 ,0 ,0 
01051076, Neufeld,13 ,0 ,1 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
01051077, Neufelderkoog,3 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
